Cty,LC,R/T,Descr
,,,
,,,
,,,
485,#L,ABP,Application Buss Solutions
485,#L,ASW,Application Buss Software
485,#L,BOT,Bottom Line
485,#L,CE2,DP Engineer Call
485,#L,CIS,CISCO Equipment
485,#L,ESB,ESW Bottom Line
485,#L,ESS,Enterprise Systems Services
485,#L,ESW,Entitled Software
485,#L,HWM,Hardware Purchase MES
485,#L,HWT,HW Purchase Transportation
485,#L,IC2,Importation Charges
485,#L,M04,SLS Migration
485,#L,M27,SLS Migration
485,#L,M33,SLS Migration
485,#L,MA2,DP Maintainance Contract
485,#L,MDW,Middleware
485,#L,PC0,PSG HW Sales
485,#L,PC4,PC and PC Equipment Sales
485,#L,SRV,Server
485,#L,STR,STORAGE
485,#L,SWE,SW Revenue Defferal Earnback
618,10,003,ESA SYSTEM SERVICE
618,10,004,SYSTEM SERVICE
618,10,006,WARTUNG EDV
618,10,007,REPARATUR
618,10,008,TECHNIKERLEISTUNG
618,10,012,GARANTIEVERGUETUNG DEALER
618,10,015,VERTRAGGEBUEHREN
618,10,016,ZINSEN
618,10,017,LITERATUR
618,10,020,RECHENZENTRUM
618,10,021,LITERATUR
618,10,030,KAUF BUEROMASCHINEN
618,10,032,WARTUNG BUEROMASCHINEN
618,10,033,REPARATUR BUEROMASCHINEN
618,10,040,FREMDSOFTWARE
618,10,048,GENERALUNTERNEHMERVERTRAG
618,10,049,(SCHADENERSATZ)
618,10,050,SCHULUNG (PUNKTEKARTE)
618,10,051,SCHULUNG
618,10,056,LEASING KAUF
618,10,058,SYSTEMBERATUNG
618,10,059,LEASING
618,10,060,ZUSAETZL.BENUETZUNG
618,10,061,RATEN
618,10,063,LEASING (VERLAENGERUNG)
618,10,073,DIRECT MARKETING
618,10,074,KAUF OEM
618,10,075,KAUF BUEROMASCHINEN
618,10,076,KAUF PC (NACHNAHME)
618,10,085,KAUF EDV (THIRD PARTY)
618,10,086,SYSTEMLIEFERVERTRAG
618,10,087,KAUF INSTALL.MASCHINEN
618,10,090,MIETE EDV
618,10,091,KAUF EDV
618,10,092,ZUBEHOER
618,10,094,ERSATZTEILE
618,10,095,MIETE LIZENZPROGRAMM
618,10,096,ACSA/EAS
618,10,097,TRADE-IN
618,10,208,TECHNIKERLEISTUNG
618,10,217,LITERATUR
618,10,250,SCHULUNG (PUNKTEKARTE)
618,10,251,SCHULUNG
618,10,308,TECHNIKERLEISTUNG
618,10,320,RECHENZENTRUM
618,10,321,LITERATUR
618,10,349,(SCHADENERSATZ)
618,10,386,SYSTEMLIEFERVERTRAG
618,10,408,TECHNIKERLEISTUNG
618,10,420,RECHENZENTRUM
618,10,421,LITERATUR
618,10,503,ESA SYSTEM SERVICE
618,10,504,SYSTEM SERVICE
618,10,506,WARTUNG EDV
618,10,507,REPARATUR
618,10,508,TECHNIKERLEISTUNG
618,10,520,RECHENZENTRUM
618,10,521,RECHENZENTRUM
618,10,548,GENERALUNTERNEHMERVERTRAG
618,10,573,DIRECT MARKETING
618,10,586,SYSTEMLIEFERVERTRAG
618,10,603,ESA SYSTEM SERVICE
618,10,604,SYSTEM SERVICE
618,10,606,WARTUNG EDV
618,10,607,REPARATUR
