                                Title: B2B billing analysis Spain      Country: Spain,,,,,,,,,,,,,,,,,,,,,,
                                Description: B2B analysis,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
                                Period: Billing from 2010-07-01 to 2014-07-31,,,,,,,,,,,,,,,,,,,,,,
                                Run date: 01Aug2014,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country,Ctry code,Customer,Boarding date,Cust nbr,Inv nbr,Inv date,Due date,Inv tot amt,Revtype,Settled date,Pmt delay,Status,Rundate,Disputenumber,Status2,Startdate,Enddate,Dispreasoncode,Dispreasoncodedesc,Invdisputedate,Resdate,Paper / Electronic
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4111587,07-07-2010,06-08-2010,"1,080.38",TLA,16-09-2010,41,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4111588,07-07-2010,06-08-2010,"2,859.31",TLA,16-09-2010,41,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4111978,05-08-2010,04-09-2010,"2,859.31",TLA,22-09-2010,18,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FHF5706525,02-09-2010,01-11-2010,184.08,MAN,04-10-2010,-28,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4114537,09-09-2010,08-11-2010,"2,859.31",TLA,29-10-2010,-10,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4114538,09-09-2010,08-11-2010,"8,727.55",TLA,10-11-2010,2,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4115145,05-10-2010,04-12-2010,"1,080.38",TLA,12-11-2010,-22,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4115146,05-10-2010,04-12-2010,"2,859.31",TLA,12-11-2010,-22,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4116633,04-11-2010,03-01-2011,"2,859.31",TLA,15-12-2010,-19,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FHF5708683,02-12-2010,31-01-2011,184.08,MAN,03-01-2011,-28,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4118046,03-12-2010,01-02-2011,"8,727.55",TLA,16-03-2011,43,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4119339,08-12-2010,07-01-2011,"1,086.13",TLA,03-01-2011,-4,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4101047,10-01-2011,11-03-2011,"1,080.38",TLA,09-02-2011,-30,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4101345,21-01-2011,22-03-2011,"2,789.34",TLA,07-04-2011,16,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4101346,21-01-2011,22-03-2011,"2,789.34",TLA,07-04-2011,16,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4101477,03-02-2011,04-04-2011,"2,789.34",TLA,06-06-2011,63,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FHF5702007,02-03-2011,01-05-2011,184.08,MAN,13-04-2011,-18,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4103868,07-03-2011,06-05-2011,"2,789.34",TLA,06-07-2011,61,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4103869,07-03-2011,06-05-2011,"8,727.55",TLA,29-09-2011,146,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4104422,05-04-2011,05-05-2011,"1,080.38",TLA,29-09-2011,147,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4104423,05-04-2011,05-05-2011,"2,789.34",TLA,02-08-2011,89,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4106607,05-05-2011,04-06-2011,"2,789.34",TLA,11-11-2011,160,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FHF5703940,02-06-2011,01-08-2011,122.72,MAN,05-07-2011,-27,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4107764,06-06-2011,05-08-2011,"2,789.34",TLA,29-08-2011,24,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4107765,06-06-2011,05-08-2011,"8,727.55",TLA,11-11-2011,98,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4109025,06-07-2011,04-09-2011,"1,080.38",TLA,11-11-2011,68,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4109026,06-07-2011,04-09-2011,"2,789.34",TLA,11-11-2011,68,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4109421,04-08-2011,03-10-2011,"2,789.34",TLA,09-12-2011,67,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4110519,02-09-2011,01-11-2011,"2,789.34",TLA,30-12-2011,59,Settled,31-07-2014,,,,,,,,,Paper invoice
